"rank","word","pronunciation","pos","cn","en"
"1576","loan","/loʊn/","noun","贷款】","something (usually money) that is given to someone for a period of time with a promise that it will be returned"
"1577","definition","/ˌdɛf.əˈnɪʃ.ən/","noun","定义","explanation of word's meaning, as in dictionaries"
"1578","elect","/ɪˈlɛkt/","verb","选举","choose someone for a position usually by voting"
"1579","atmosphere","/ˈæt.məsˌfɪər/","noun","大气层；氛围","The mixture of gases surrounding the Earth; the feeling that a place or situation gives you"
"1580","farmer","/ˈfɑr.mər/","noun","农场主；农民","someone who owns or looks after farm, a place for growing crops and keeping animals"
"1581","comparison","/kəmˈpær.ə.sən/","noun","比较","looking for differences and similarities in two or more things"
"1582","characteristic","/ˌkær.ɪk.təˈrɪs.tɪk/","adj","特有的；典型的","a typical feature or quality that a particular person or thing has"
"1583","license","/ˈlaɪ.səns/","noun","执照；许可证","official document which allows a person to do or have something"
"1584","rely","/rɪˈlaɪ/","verb","依靠","able to depend on"
"1585","narrow","/ˈnær.oʊ/","adj","狭窄的","long but not wide; a small distance from one side to the other compared to length"
"1586","succeed","/səkˈsid/","verb","成功;达到目的","to finally achieve something that you were trying to achieve"
"1587","identity","/aɪ.dɛn.tɪ.tɪ/","noun","身份","who someone is; the collection of qualities that makes a person"
"1588","desk","/dɛsk/","noun","桌子","a piece of furniture like a table often with drawers"
"1589","permit","/pərˈmɪt/","verb","允许；许可","to allow someone to do something or for something to happen"
"1590","seriously","/ˈsɪər.i.əs.li/","adv","认真地；严重地","in a serious way; in a way that shows something is important"
"1591","wild","/waɪld/","adj","野生的;自然生长的","living in nature; not tame"
"1592","empty","/ˈɛmp.ti/","adj","空的","containing nothing; with no contents"
"1593","commission","/kəˈmɪʃ.ən/","noun","委员会","a group officially put in charge of finding out about something or controlling something"
"1594","unique","/juˈnik/","adj","独特的；唯一的","unlike other things; being the only one like it"
"1595","association","/əˌsoʊ.siˈeɪ.ʃən/","noun","协会","organization of people with the same interest"
"1596","instrument","/ˈɪn.strə.mənt/","noun","乐器","a piece of equipment used for a particular purpose such as making music or measuring something"
"1597","investor","/ɪnˈvɛst/","noun","投资者","a person who gives money to help a business grow for a profit"
"1598","practical","/ˈpræk.tɪ.kəl/","adj","实际的;实用的","relating to what is sensible, real, or useful rather than with ideas or theories"
"1599","tea","/ti/","noun","茶；茶叶","drink made when you put dried leaves in hot water"
"1600","lovely","/ˈlʌv.li/","adj","美丽的；有吸引力的","attractive or beautiful"
"1601","soft","/sɑft/","adj","柔软的","easy to press, bend or cut; not hard or firm"
"1602","row","/ˈrəʊ/","noun","一行；一列","a straight line of people or things; one after another"
"1603","youth","/juθ/","noun","年轻；青年","when you are young; a young person"
"1604","lock","/lɒk/","verb","锁住","to close something with a device so others can't open it"
"1605","fuel","/ˈfju.əl/","noun","燃料","material used to produce heat or power when burned"
"1606","expectation","/ˌɛk.spɛkˈteɪ.ʃən/","noun","预期；期望","a belief or hope that something is going to happen"
"1607","employment","/ɛmˈplɔɪ.mənt/","noun","雇用；工作","having a job; work done for money"
"1608","celebrate","/ˈsɛl.əˌbreɪt/","verb","庆祝（事件或节日），过（生日）","to observe an event or occasion (e.g., a birthday)"
"1609","sexual","/ˈsɛk.ʃu.əl/","adj","性的；两性的","concerning physical activity that can produce babies"
"1610","shoulder","/ˈʃoʊl.dər/","noun","肩膀","the part of the body where an arm attaches or joins"
"1611","breath","/brɛθ/","noun","气息","air you take in and out of your body"
"1612","increasingly","/ɪnˈkri.sɪŋ.li/","adv","越来越多地，渐增地","more and more; in greater degree or amount"
"1613","import","/ɪmˈpɔrt/","verb","进口","to bring items or goods from one country into another"
"1614","bottle","/ˈbɑ.təl/","noun","瓶子","a container with a narrow neck used to hold liquids like water or wine"
"1615","ourselves","/aʊərˈsɛlvz/","pron","我们自己","used by a speaker to show that they and one or more people are affected by their action"
"1616","sheet","/ʃit/","noun","被单","a large piece of fabric or material that is used to cover something, often a bed"
"1617","engine","/ˈɛn.dʒən/","noun","发动机，引擎","a machine that changes energy into motion"
"1618","cast","/kæst/","verb","投；扔；抛；掷","to send, throw, or move something or someone in a direction"
"1619","notion","/ˈnoʊ.ʃən/","noun","意图；看法","idea or opinion about doing something"
"1620","conservative","/kənˈsɜr.və.tɪv/","adj","保守的，守旧的","preferring traditional styles and values"
"1621","journey","/ˈdʒɜr.ni/","noun","行程；旅行","traveling from one place to another; trip"
"1622","opposition","/ˌɒp.əˈzɪʃ.ən/","noun","反对","act of disagreeing or trying to stop something"
"1623","relief","/rɪˈlif/","noun","缓解；轻松","the pleasant and relaxed feeling when something unpleasant stops or does not happen"
"1624","debt","/dɛt/","noun","欠款；债务","the sum of money owed to somebody that is not yet paid"
"1625","honor","/ˈɑn.ər/","noun","敬意","respect given to someone who is admired"
"1626","outcome","/ˈaʊtˌkʌm/","noun","结果，结局","something that happens as a result, consequence"
"1627","blame","/bleɪm/","verb","责备；责怪","to say someone is responsible for something bad"
"1628","explanation","/ˌɛk.spləˈneɪ.ʃən/","noun","解释，说明","details or reasons given to make something clear"
"1629","arise","/əˈraɪz/","verb","产生；发生","to begin, to start to happen"
"1630","musical","/ˈmju.zɪ.kəl/","noun","音乐的","play or movie set to music"
"1631","recover","/rɪˈkʌv.ər/","verb","恢复（健康）；挽回","to become healthy after an illness or injury; to get better"
"1632","dad","/dæd/","noun","爸爸","father"
"1633","stretch","/strɛtʃ/","verb","拉长，撑大","to make something bigger or looser by pulling on it"
"1634","declare","/dɪ.ˈklɛər/","verb","宣布，声明","to say something in an official or sure way"
"1635","retire","/rɪˈtaɪ.ər/","verb","退休","to stop working because you have reached a certain age"
"1636","tiny","/ˈtaɪ.ni/","adj","极小的","very, very small"
"1637","careful","/ˈkɛər.fəl/","adj","小心的","thinking about what you are doing in order to avoid a mistake"
"1638","suitable","/ˈsu.tə.bəl/","adj","合适的，适当的","acceptable or right for someone or something"
"1639","native","/ˈneɪ.tɪv/","noun","本地人","being from or living in the place where you were born"
"1640","fruit","/frut/","noun","水果","food that grows on a tree or bush"
"1641","analyze","/ˈæn.ə.laɪz/","verb","分析","to study carefully to find out the meaning of"
"1642","witness","/ˈwɪt.nɪs/","noun","目击者","a person who sees something happen"
"1643","mail","/meɪl/","noun","信件，邮包，邮件","a letter, package, or email"
"1644","terrible","/ˈtɛr.ə.bəl/","adj","糟透的；可怕的","very bad; horrible"
"1645","researcher","/rɪˈsɜr.tʃər/","noun","研究员","a person who studies something carefully to learn new information"
"1646","ordinary","/ˈɔr.dnˌɛr.i/","adj","平常的，普通的，一般的","not special, different, or unusual"
"1647","selection","/sɪˈlɛk.ʃən/","noun","挑选","the act of carefully choosing something or someone from a group"
"1648","anywhere","/ˈɛn.iˌwɛər/","adv","在任何地方（用于疑问句，否定句）","in, at, or to any place; used in questions, with 'not'"
"1649","mental","/ˈmɛn.tl/","adj","精神上的，思想上的","concerning the mind"
"1650","participant","/pɑrˈtɪs.ə.pənt/","noun","参加者, 参与者","a person who is actively involved and included in something"
"1651","vision","/ˈvɪʒ.ən/","noun","视力","ability to see things with your eyes"
"1652","personality","/ˌpɜr.səˈnæl.ɪ.ti/","noun","人格；个性","person's character; the way that a person usually acts"
"1653","specifically","/spɪˈsɪf.ɪk.li/","adv","特别地，特地","in a well-defined or clear manner; in particular"
"1654","fat","/fæt/","noun","脂肪","oily part of meat"
"1655","entry","/ˈɛn.tri/","noun","进入","the act of going into some place"
"1656","fellow","/ˈfɛl.oʊ/","noun","伙伴，同伙","someone in the same group or situation; a boy or man"
"1657","chemical","/ˈkɛm.ɪ.kəl/","noun","化学的","a basic substance produced by mixing elements"
"1658","capture","/ˈkæp.tʃər/","verb","捕获","to catch and prevent a person/animal from being free"
"1659","tip","/tɪp/","noun","指点，末梢","a small piece of advice; the end of something"
"1660","discount","/ˈdɪs.kaʊnt/","noun","折扣","an amount of money taken off the usual price of something"
"1661","peak","/pik/","noun","顶点，顶峰，峰值","the time or place when something or someone is best, greatest, highest"
"1662","chairman","/ˈtʃɛər.mən/","noun","主席","a person in charge of a meeting"
"1663","proportion","/prəˈpɔr.ʃən/","noun","比例","an amount that is a part of a whole thing"
"1664","ear","/ɪər/","noun","耳朵","the part of the head that you hear with"
"1665","disappear","/ˌdɪs.əˈpɪər/","verb","消失","to become impossible to see"
"1666","shout","/ʃaʊt/","verb","喊叫","to speak very loudly because you want to get their attention"
"1667","yard","/jɑrd/","noun","院子，庭院","outdoor area or garden next to a house"
"1668","constant","/ˈkɑn.stənt/","adj","连续发生的，不断的","happening frequently or without pause"
"1669","significantly","/sɪgˈnɪf.ɪ.kənt.li/","adv","重要的，显著的","in a way that is important or noticeable"
"1670","hill","/hɪl/","noun","小山","an area of land that is higher than the land around it but smaller than a mountain"
"1671","considerable","/kənˈsɪd.ər.ə.bəl/","adj","相当大（或多）的；重大的","large in size, amount, or effect"
"1672","instruction","/ɪnˈstrʌk.ʃən/","noun","用法说明","information about how to do or use something"
"1673","intelligence","/ɪnˈtɛl.ɪ.dʒəns/","noun","智力，才智","ability to learn, think about, and understand things"
"1674","ideal","/aɪˈdi.əl/","adj","完美的，理想的","perfect; most suitable; best possible"
"1675","folk","/fəʊk/","adj","普通平民的","ordinary people"
"1676","surely","/ˈʃɜr.li/","adv","确实地，一定地","with certainty; definitely"
"1677","guard","/gɑrd/","verb","守卫","to keep watch over something to protect it e.g., a bank"
"1678","cat","/kæt/","noun","猫","a small animal of the lion and tiger family with four legs and a tail that is kept as a pet"
"1679","somewhat","/ˈsʌmˌwʌt/","adv","有点，稍微","little, not very"
"1680","kiss","/kɪs/","verb","亲吻","to put your lips against another's to show love"
"1681","presentation","/ˌprɛz.ənˈteɪ.ʃən/","noun","陈述","act of giving a formal talk about something"
"1682","joint","/dʒɔɪnt/","noun","1.（n）结点，关节；2.（adj）联合的，与他人合作的","1. (n.) place where two things meet; 2. (adj.) done together"
"1683","compete","/kəmˈpit/","verb","竞争，比赛","to try to win something such as a race or game"
"1684","poll","/poʊl/","noun","民意测验","to get information by asking many people questions about a particular subject"
"1685","weak","/wik/","adj","（能力）弱的，虚弱的，易破的","having little power; not strong; easy to break"
"1686","faith","/feɪθ/","noun","信念","a strong belief that someone or something is honest and good"
"1687","reduction","/rɪˈdʌk.ʃən/","noun","减少，缩减","making something smaller; reducing something"
"1688","reserve","/rɪˈzɜrv/","verb","1.（v）预订；2.（n）储备","1. (v) to arrange to use a room or table at a particular time; 2. (n) a store of something"
"1689","complaint","/kəmˈpleɪnt/","noun","抱怨","saying something is wrong and should be changed"
"1690","bore","/bɔr/","verb","使厌倦","to make someone not interested in something"
"1691","mission","/ˈmɪʃ.ən/","noun","使命，任务","a special task or job that is given to a person or group"
"1692","somehow","/ˈsʌmˌhaʊ/","adv","不知怎的","in a way that is not known or certain"
"1693","tone","/təʊn/","noun","音调","sound of a voice that shows emotion or meaning"
"1694","neighborhood","/ˈneɪ.bərˌhʊd/","noun","居住地区","area of a town or city that people live in"
"1695","passenger","/ˈpæs.ən.dʒər/","noun","乘客","A person who is traveling in a vehicle"
"1696","justice","/ˈdʒʌs.tɪs/","noun","正义，公平","quality of being fair, equal, or just"
"1697","phase","/feɪz/","noun","阶段","distinct part or step in a process"
"1698","thin","/ˈθɪn/","adj","薄的，瘦的","not thick; not wide in size"
"1699","rush","/rʌʃ/","verb","仓促行事","to do something very quickly"
"1700","formal","/ˈfɔr.məl/","adj","正式的","suitable for serious, official, or important occasions"
"1701","religion","/rɪˈlɪdʒ.ən/","noun","宗教信仰","set of beliefs about a god or gods"
"1702","employer","/ɛmˈplɔɪ.ər/","noun","雇主, 老板","person or firm that pays people to work for them"
"1703","reject","/rɪˈdʒɛkt/","verb","拒绝","to refuse to believe, accept, or consider"
"1704","latter","/ˈlæt.ər/","adj","后者的，最后的","the second or last mentioned thing"
"1705","plate","/pleɪt/","noun","盘子，碟子","a flat dish used for eating or serving food"
"1706","ban","/bæn/","verb","禁止","to make something illegal or not allowed"
"1707","steal","/stil/","verb","偷","to secretly take something that belongs to another"
"1708","protest","/ˈproʊ.tɛst/","verb","抗议","to express opposition through action or words"
"1709","index","/ˈɪn.dɛks/","noun","索引","a written or printed list of topics or words in a particular order"
"1710","sad","/sæd/","adj","伤心的，悲伤的","feeling unhappy; wishing something hadn't happened"
"1711","frequently","/ˈfri.kwənt.li/","adv","经常地，频繁地","often; regularly"
"1712","circle","/ˈsɜr.kəl/","noun","圆圈","a perfectly round shape or a group arranged in that shape"
"1713","helpful","/ˈhɛlp.fəl/","adj","有用的","doing things that help someone"
"1714","command","/kəˈmɑnd/","verb","命令，指挥","to give an order; have control over others"
"1715","attractive","/əˈtræk.tɪv/","adj","有吸引力的","making you like them, as by being good-looking"
"1716","sick","/sɪk/","adj","有病的，不舒服的","having a physical or mental illness; not feeling well"
"1717","impression","/ɪmˈprɛʃ.ən/","noun","影响，印象","effect or feeling resulting from an experience"
"1718","unable","/ʌnˈeɪ.bəl/","adj","不能的，不会的","not being able to do something"
"1719","joke","/dʒəʊk/","verb","开玩笑","to say or do things that are meant to be funny"
"1720","sky","/skaɪ/","noun","天空","the place where we see clouds above us"
"1721","column","/ˈkɑl.əm/","noun","支柱，列","a tall post made of stone or wood used as a support in a building; one of two or more blocks of print that appear next to each other on a page"
"1722","electronic","/ˌɛl.ɛkˈtrɑn.ɪk/","adj","电子的","operating by use of electricity; digital"
"1723","impose","/ɪmˈpoʊz/","verb","把...强加于","to make someone to do, believe, or accept something"
"1724","criminal","/ˈkrɪm.ə.nl/","adj","犯罪的；（n）罪犯","related to illegal activity; (n) a person who has done a crime"
"1725","besides","/bəˈsaɪdz/","prep","除...之外（还）","other than or in addition to"
"1726","properly","/ˈprɑp.ər.li/","adv","适当地","in a correct or suitable way depending on the situation"
"1727","ancient","/ˈeɪn.ʃənt/","adj","年老的，年代久远的","very old; having lived a very long time ago"
"1728","coast","/kəʊst/","noun","海岸","land near the sea or ocean"
"1729","ill","/ɪl/","adj","有病的","not well; sick"
"1730","kick","/kɪk/","verb","踢","to hit someone or something using your foot"
"1731","closely","/ˈkloʊs.lɪ/","adv","接近地","very near in space or time; just next to"
"1732","multiple","/ˈmʌl.tə.pəl/","adj","多个的","many things or people"
"1733","yield","/jild/","verb","让出","to give way to someone or something else"
"1734","via","/ˈvaɪ.ə/","prep","经由，通过","by going through, by way of"
"1735","legislation","/ˌlɛdʒ.ɪsˈleɪ.ʃən/","noun","立法","act or process of writing and passing laws"
"1736","county","/ˈkaʊn.ti/","noun","县，郡","an area within a country or a state with its own local government"
"1737","unlike","/ʌnˈlaɪk/","adj","不同的","appearing or being different"
"1738","mobile","/ˈmoʊ.bil/","adj","可移动的","able to move from one place to another"
"1739","assistant","/əˈsɪs.tənt/","noun","助手，助理","a person who helps another, usually as a job"
"1740","implement","/ˈɪm.pləˌmɛnt/","verb","实施，执行；（n）工具","to start and carry out a plan or government policy; (n) tool"
"1741","chart","/tʃɑrt/","noun","图，图表","drawing showing information in a clear way"
"1742","attach","/əˈtætʃ/","verb","连接，使附着","to be associated or connected with"
"1743","hell","/hɛl/","noun","地狱","any place of pain and suffering"
"1744","everywhere","/ˈɛv.riˌwɛər/","adv","到处，各处","every place"
"1745","advise","/ædˈvaɪz/","verb","劝告，忠告","to suggest what should be done"
"1746","household","/ˈhaʊsˌhoʊld/","noun","家庭，一家人","all the people who live in a house; a family"
"1747","acknowledge","/ækˈnɑl.ɪdʒ/","verb","承认，确认","to accept that something is true"
"1748","reward","/rɪˈwɔrd/","verb","奖赏","to give something to someone because of their good work"
"1749","east","/ist/","noun","东，东方","the direction where the sun rises"
"1750","hat","/hæt/","noun","帽子","something people wear to cover their heads for fashion or protection"
"1751","academic","/ˌæk.əˈdɛm.ɪk/","adj","学院的，学术的；（n）学者，大学教师","related to education or school; (n) educator who works at a college or university"
"1752","voter","/ˈvoʊ.tər/","noun","投票人","a person who can vote in an election"
"1753","meanwhile","/ˈminˌwaɪl/","adv","与此同时","at or during the same time; in the meantime"
"1754","furthermore","/ˈfɜr.ðərˌmɔr/","adv","而且，此外","in addition to what has been said"
"1755","accuse","/əˈkjuz/","verb","指控，控告","to say that someone has done something bad or wrong"
"1756","scientific","/ˌsaɪ.ənˈtɪf.ɪk/","adj","科学的","related to science"
"1757","wage","/weɪdʒ/","noun","工资；报酬","money paid to workers for the hours they worked"
"1758","absence","/ˈæb.səns/","noun","缺席","a time when you are not in a place where you should be"
"1759","construct","/kənˈstrʌkt/","verb","建造，构筑","to build or create something"
"1760","remark","/rɪˈmɑrk/","verb","评论","to say an opinion or make a comment about something"
"1761","medicine","/ˈmɛd.ə.sɪn/","noun","药物；医学","liquid or pills used to treat illness or pain; the study of treating illness or pain"
"1762","professor","/prəˈfɛs.ər/","noun","教授","a teacher of high rank in a university or college"
"1763","rare","/rɛər/","adj","罕见的","not common or usual"
"1764","intention","/ɪnˈtɛn.ʃən/","noun","意图，目的，打算","plan, aim, or purpose"
"1765","dozen","/ˈdʌz.ən/","noun","一打，十二个","a group of twelve people or things"
"1766","settlement","/ˈsɛt.l.mənt/","noun","解决，和解","an official agreement that ends an argument or fight between people or groups"
"1767","gap","/ɡæp/","noun","间隔，间隙","a space between two things"
"1768","widely","/ˈwaɪd.li/","adv","广泛地","by or among a large number of people"
"1769","minimum","/ˈmɪn.ə.məm/","noun","最低值，最小量","lowest number or amount that is possible"
"1770","northern","/ˈnɔr.ðərn/","adj","在北方的；向北方的","in or toward the north"
"1771","estate","/ɪˈsteɪt/","noun","地产，私有土地","land that a person owns"
"1772","equally","/ˈi.kwə.li/","adv","相等地，同样","in an equal, similar, or identical way"
"1773","expose","/ɪkˈspoʊz/","verb","暴露，揭露","to show something that is usually hidden, covered, or protected"
"1774","alive","/əˈlaɪv/","adj","活着的；在世的","living; not dead"
"1775","shut","/ʃʌt/","verb","关闭","to close something"
"1776","victory","/ˈvɪk.tə.ri/","noun","胜利","a win in a war, game, or competition"
"1777","resolve","/rɪˈzɑlv/","verb","解决","to find an answer or way to handle a problem"
"1778","critic","/ˈkrɪt.ɪk/","noun","评论家","a person whose job is to give opinions about books, movies, or other forms of art"
"1779","variable","/ˈvɛər.i.ə.bəl/","adj","可变的","having the ability to change or vary"
"1780","enormous","/ɪˈnɔr.məs/","adj","巨大的","huge; very big; very large"
"1781","sweet","/swit/","adj","甜的；含糖的","tasting like sugar; containing sugar"
"1782","permanent","/ˈpɜr.mə.nənt/","adj","永久的，长期不变的","lasting forever; not temporary or changing"
"1783","emotion","/ɪˈmoʊ.ʃən/","noun","情感","a feeling such as sadness, anger, or love"
"1784","pursue","/pərˈsu/","verb","追随；追求","to follow and try to catch something; to try to get something"
"1785","tall","/tɔl/","adj","高的","greater in height than average"
"1786","urge","/ɜrdʒ/","verb","力劝","to strongly persuade someone to do something"
"1787","enemy","/ˈɛn.ə.mi/","noun","敌人","someone who wants to harm another"
"1788","appoint","/əˈpɔɪnt/","verb","委派，任命","to officially choose a person for a job, position"
"1789","milk","/mɪlk/","noun","牛奶","the white liquid produced by females to feed their babies"
"1790","talent","/ˈtæl.ənt/","noun","天才","the natural ability of a person to do something well"
"1791","smell","/smɛl/","verb","闻，嗅","to use your nose to sense something"
"1792","prior","/ˈpraɪ.ər/","adj","在先的；优先的","happening or coming earlier in time"
"1793","priority","/praɪˈɔr.ɪ.ti/","noun","优先","something that is important and must be done before other things"
"1794","online","/ˈɑnˌlaɪn/","adj","在线的","connected to the internet"
"1795","phrase","/freɪz/","noun","短语；词组","a group of words that forms a unit and expresses a single meaning"
"1796","pilot","/ˈpaɪ.lət/","noun","（飞机，宇宙飞船或船舶的）驾驶员","a person who controls an airplane, spacecraft, or boat"
"1797","stable","/ˈsteɪ.bəl/","adj","稳定的；持久的","in a good situation or condition; not likely to change"
"1798","merely","/ˈmɪər.li/","adv","仅仅，只不过","only, simply, or nothing more than"
"1799","resolution","/ˌrɛz.əˈlu.ʃən/","noun","决议","a formal agreement or statement decided by a group of people"
"1800","communicate","/kəˈmju.nɪˌkeɪt/","verb","交流","to give and exchange information"
"1801","injury","/ˈɪn.dʒə.ri/","noun","(身体上或精神上的)伤害","physical or emotional harm or damage that a person experiences"
"1802","vast","/væst/","adj","广阔的；大量的","being very large in size or amount"
"1803","exhibition","/ˌɛk.səˈbɪʃ.ən/","noun","展览","an event at which an object or group of objects is shown to the public"
"1804","producer","/prəˈdu.sər/","noun","制造商，生产者","a company making or growing a certain product"
"1805","regional","/ˈri.dʒə.nl/","adj","区域的","having to do with a particular area"
"1806","immediate","/ɪˈmi.di.ɪt/","adj","即刻的；直接的","done without delay; straight away"
"1807","incident","/ˈɪn.sɪ.dənt/","noun","小事，事件","something that happens, especially if it is bad or unusual"
"1808","childhood","/ˈtʃaɪld.hʊd/","noun","童年","the time when you are a child"
"1809","draft","/dræft/","noun","草稿，草案","a piece of writing or plan that is not yet finished"
"1810","slip","/slɪp/","verb","滑跤","to slide out of position or fall to the ground by accident"
"1811","accompany","/əˈkʌm.pə.ni/","verb","陪伴","to go somewhere with someone"
"1812","politician","/ˌpɑl.ɪˈtɪʃ.ən/","noun","政治家","someone who is active in politics"
"1813","angry","/ˈæŋ.gri/","adj","生气的，愤怒的","having a strong feeling about something that you dislike very much"
"1814","knock","/nɑk/","verb","敲","to hit something to get people's attention"
"1815","seed","/sid/","noun","种子；开端","a small object made by a plant from which a new plant can grow; the beginning of something"
"1816","salary","/ˈsæl.ə.ri/","noun","薪水","money an employee is paid each year"
"1817","illustrate","/ˈɪl.əˌstreɪt/","verb","阐明","to explain with examples, to make it easier to understand"
"1818","imply","/ɪmˈplaɪ/","verb","暗示","to suggest something, without saying it directly"
"1819","breakfast","/ˈbrɛk.fəst/","noun","早餐","the first meal of the day"
"1820","temporary","/ˈtɛm.pəˌrɛr.i/","adj","暂时的；短暂的","continuing for a limited time, not permanent"
"1821","liberal","/ˈlɪb.ər.əl/","adj","开明的；自由主义的","open to new ideas; believing government should actively support social needs"
"1822","lake","/leɪk/","noun","湖","a large area of water surrounded by land"
"1823","qualify","/ˈkwɑl.əˌfaɪ/","verb","使胜任","to get the necessary skill or knowledge to do a particular job or activity"
"1824","competitive","/kəmˈpɛt.ɪ.tɪv/","adj","竞争的","wanting to win or to be better than others"
"1825","truly","/ˈtru.li/","adv","真实地","based on truth or fact or reality"
"1826","hi","/ˈhaɪ̯/","intj","嘿，喂","what you say when you meet someone; hello"
"1827","yellow","/ˈjɛl.oʊ/","adj","黄色的","color of lemons or the sun"
"1828","habit","/ˈhæb.ɪt/","noun","习惯","the usual way of behaving; something often repeated"
"1829","disk","/dɪsk/","noun","圆盘","a flat round object"
"1830","core","/kɔr/","noun","果心；核心","the central part of a fruit that contains the seeds; the central part of something"
"1831","emotional","/ɪˈmoʊ.ʃə.nl/","adj","情绪的","related to deep feelings"
"1832","aircraft","/ˈɛərˌkræft/","noun","飞机","a machine that can fly"
"1833","self","/sɛf/","noun","自我，本性","the type of person you really are"
"1834","metal","/ˈmɛt.l/","noun","金属","a type of hardy material that is usually hard and shiny that can be used to make things, such as iron, gold, or steel"
"1835","existence","/ɪgˈzɪs.təns/","noun","存在","state of being present, alive, or real"
"1836","bone","/ˈboʊn/","noun","骨头","hard pieces of a body that form the frame of an animal"
"1837","panel","/ˈpæn.l/","noun","镶板；专门小组","a rectangular piece of wood, metal, etc., that is a part of something bigger; a group of people who discuss something"
"1838","prime","/praɪ̯m/","adj","主要的，最好的","main; most important; best quality"
"1839","appointment","/əˈpɔɪnt.mənt/","noun","约会，约定","the time you arranged to meet someone or do something"
"1840","emphasize","/ˈɛm.fəˌsaɪz/","verb","强调","to stress the items that are important"
"1841","maximum","/ˈmæk.sə.məm/","noun","最大值","largest or greatest"
"1842","effectively","/ɪˈfɛk.tɪv.li/","adv","有效地","in a way that produces the result you want"
"1843","elsewhere","/ˈɛls.wɛər/","adv","在别处","in or to another or different place"
"1844","bother","/ˈbɑð.ər/","verb","打扰","to take the trouble to do something"
"1845","initiative","/ɪˈnɪʃ.ə.tɪv/","noun","主动权","ability to decide or act upon things yourself without depending on someone else"
"1846","sharp","/ʃɑrp/","adj","锋利的，尖的","having a thin edge or point that is able to cut"
"1847","diet","/ˈdaɪ.ət/","verb","日常饮食","the type of food that a person or animal usually eats"
"1848","motion","/ˈmoʊ.ʃən/","noun","动，移动","a movement; the way something moves"
"1849","gray","/greɪ/","adj","灰色的","color between black and white"
"1850","plastic","/ˈplæs.tɪk/","noun","塑料","a very common, light, strong material that can be formed into many different shapes and is made by a chemical process"
"1851","complicate","/ˈkɑm.plɪˌkeɪt/","verb","使复杂化","to make more difficult"
"1852","discipline","/ˈdɪs.ə.plɪn/","noun","训练，磨练","the teaching of self-control through instruction and practice"
"1853","disappoint","/ˌdɪs.əˈpɔɪnt/","verb","使失望","to not meet the expectations of others or yourself"
"1854","boss","/bɑs/","noun","老板，上司","a person who manages you, or is in charge of you at work"
"1855","assumption","/əˈsʌmp.ʃən/","noun","假定","something you believe to be so, but aren't sure of"
"1856","freeze","/friz/","verb","冻结，凝固","to become hard because of very cold temperatures"
"1857","extreme","/ɪkˈstrim/","adj","极大的","very great in degree"
"1858","passage","/ˈpæs.ɪdʒ/","noun","通道，过道","a long, narrow area that connects one place to another"
"1859","reputation","/ˌrɛp.jəˈteɪ.ʃən/","noun","名声","an opinion that people have about someone or something based on the past"
"1860","forth","/fɔrθ/","adv","往外；向前","out of a place; forward in time, place, or way"
"1861","negotiation","/nɪˌgoʊ.ʃiˈeɪ.ʃən/","noun","谈判","a formal discussion to reach an agreement"
"1862","mechanism","/ˈmɛk.əˌnɪz.əm/","noun","机械装置","a part or a set of parts of a machine that has a particular function"
"1863","coat","/koʊt/","noun","外套","clothing worn outside over your normal clothes"
"1864","democracy","/dɪˈmɑk.rə.si/","noun","民主主义","a system of government in which the people of a country can vote to elect who will govern them"
"1865","pocket","/ˈpɑk.ɪt/","noun","口袋","small cloth bag sewn into clothing to hold things"
"1866","lucky","/ˈlʌ.ki/","adj","幸运的，吉祥的","fortunate; having good things happen to you"
"1867","crash","/kræʃ/","verb","撞毁","to hit something hard enough to cause serious damage"
"1868","observation","/ˌɑb.zərˈvɛɪ.ʃən/","noun","观察","careful watching and listening; remark or comment on something you have noticed"
"1869","meat","/mit/","noun","肉","the muscles and soft parts of animals or birds that is eaten as food"
"1870","concentration","/ˌkɑn.sənˈtreɪ.ʃən/","noun","专注","the ability to direct all your effort and attention on the one thing you are doing and nothing else"
"1871","implication","/ˌɪm.pləˈkeɪ.ʃən/","noun","含义；暗指","possible effects or results from an action or event"
"1872","deserve","/dɪˈzɜrv/","verb","应得，值得","to get the appropriate reward or punishment for the way you behaved or something you did"
"1873","unusual","/ʌnˈju.ʒu.əl/","adj","异常的","different from what is ordinary or normal in a way that attracts attention; not usual"
"1874","defend","/dɪˈfɛnd/","verb","防御，保卫","to protect against an attack"
"1875","classic","/ˈklæs.ɪk/","noun","经典","something popular or famous for a long time and is considered one of the best of its kind"
"1876","king","/kiŋ/","noun","君主，国王","the male ruler of a country that has a royal family"
"1877","interaction","/ˌɪn.tərˈæk.ʃən/","noun","相互作用","process of two or more people or things affecting each other"
"1878","repair","/rɪˈpɛər/","verb","修理","to fix something that is broken; fix"
"1879","collapse","/kəˈlæps/","verb","使倒塌，使瓦解","to suddenly fall down or break apart"
"1880","borrow","/ˈbɑr.əʊ/","verb","借用","to receive something from someone and later return it"
"1881","fundamental","/ˌfʌn.dəˈmɛn.təl/","adj","主要的","relating to the most important parts of something"
"1882","dish","/dɪʃ/","noun","碟子，盘子","a shallow container for cooking or serving food"
"1883","abroad","/əˈbrɔd/","adv","到国外，在国外","in or to a foreign country"
"1884","soul","/səʊl/","noun","灵魂","the spiritual part of a person"
"1885","capable","/ˈkeɪ.pə.bəl/","adj","有能力的","able to do something; can do"
